,MAE,RMSE,MAPE,Pearson
EfficientPhys_UBFC_UBFC_PEAK_10,2.66599988937378,4.889999866485596,2.743,0.956
EfficientPhys_UBFC_UBFC_PEAK_20,2.566999912261963,3.83899998664856,2.637,0.972
EfficientPhys_UBFC_UBFC_PEAK_30,2.427000045776367,3.318000078201294,2.484,0.979
GREEN_UBFC_UBFC_PEAK_03,,,,
GREEN_UBFC_UBFC_PEAK_05,16.875999450683594,24.030000686645508,17.572,0.408
GREEN_UBFC_UBFC_PEAK_10,13.95300006866455,19.246999740600582,14.464,0.491
GREEN_UBFC_UBFC_PEAK_20,15.668999671936035,20.858999252319336,15.718,0.42
GREEN_UBFC_UBFC_PEAK_30,13.708999633789062,18.79899978637696,13.621,0.397
PhysNet_PURE_UBFC_FFT_03,26.3439998626709,31.73900032043457,29.906,-0.019
PhysNet_PURE_UBFC_FFT_05,25.08300018310547,31.21500015258789,28.796,0.018
PhysNet_PURE_UBFC_FFT_10,25.57299995422364,31.402999877929688,28.758,-0.009
PhysNet_PURE_UBFC_FFT_20,25.006000518798828,30.857999801635746,28.849,-0.128
PhysNet_PURE_UBFC_FFT_30,24.481000900268555,30.125,28.206,0.004
PhysNet_PURE_UBFC_PEAK_03,41.40499877929688,49.75199890136719,43.259,0.003
PhysNet_PURE_UBFC_PEAK_05,17.900999069213867,22.840999603271484,19.663,-0.002
PhysNet_PURE_UBFC_PEAK_10,16.378999710083008,20.49099922180176,18.068,-0.021
PhysNet_PURE_UBFC_PEAK_20,14.340999603271484,18.417999267578125,16.302,0.003
PhysNet_PURE_UBFC_PEAK_30,13.881999969482422,17.631000518798828,15.691,0.017
PhysNet_UBFC_PURE_FFT_03,16.634000778198242,26.625,25.33,0.43
PhysNet_UBFC_PURE_FFT_05,9.262999534606934,14.869000434875488,14.897,0.786
PhysNet_UBFC_PURE_FFT_10,8.904000282287598,13.881999969482422,14.785,0.811
PhysNet_UBFC_PURE_FFT_20,8.638999938964844,12.98900032043457,14.359,0.83
PhysNet_UBFC_PURE_FFT_30,8.829000473022461,14.057000160217283,14.209,0.81
PhysNet_UBFC_PURE_PEAK_03,57.7869987487793,67.13899993896484,93.913,-0.024
PhysNet_UBFC_PURE_PEAK_05,56.84600067138672,64.26799774169922,92.911,-0.046
PhysNet_UBFC_PURE_PEAK_10,55.93199920654297,62.358001708984375,90.681,-0.058
PhysNet_UBFC_PURE_PEAK_20,54.95100021362305,60.75899887084961,87.901,-0.052
PhysNet_UBFC_PURE_PEAK_30,54.61299896240234,59.97299957275391,86.411,-0.038
TSCAN_PURE_PURE_FFT_03,2.7679998874664307,10.081000328063965,3.489,0.89
TSCAN_PURE_PURE_FFT_05,1.531000018119812,7.11899995803833,2.019,0.952
TSCAN_PURE_PURE_FFT_10,1.8890000581741333,8.675999641418457,2.31,0.93
TSCAN_PURE_PURE_FFT_20,1.6269999742507937,7.033999919891357,2.016,0.955
TSCAN_PURE_PURE_FFT_30,1.8420000076293943,7.960000038146973,2.23,0.94
TSCAN_PURE_PURE_PEAK_03,20.66699981689453,32.89500045776367,28.71,0.545
TSCAN_PURE_PURE_PEAK_05,17.152000427246094,27.78400039672852,26.272,0.498
TSCAN_PURE_PURE_PEAK_10,15.300000190734863,22.280000686645508,23.183,0.605
TSCAN_PURE_PURE_PEAK_20,13.503999710083008,18.54899978637696,20.7,0.701
TSCAN_PURE_PURE_PEAK_30,13.461999893188477,17.209999084472656,20.802,0.766
TSCAN_PURE_UBFC_FFT_03,4.554999828338623,12.883000373840332,4.483,0.786
TSCAN_PURE_UBFC_FFT_05,4.0980000495910645,12.982000350952148,3.999,0.784
TSCAN_PURE_UBFC_FFT_10,2.63700008392334,9.967000007629396,2.731,0.861
TSCAN_PURE_UBFC_FFT_20,3.486999988555908,10.633000373840332,3.343,0.831
TSCAN_PURE_UBFC_FFT_30,2.821000099182129,8.40999984741211,2.795,0.897
TSCAN_PURE_UBFC_PEAK_03,11.336000442504885,18.81800079345703,10.983,0.217
TSCAN_PURE_UBFC_PEAK_05,9.69499969482422,15.817999839782717,10.521,0.624
TSCAN_PURE_UBFC_PEAK_10,7.460000038146973,11.458999633789062,7.978,0.753
TSCAN_PURE_UBFC_PEAK_20,6.52400016784668,9.513999938964844,7.106,0.81
TSCAN_PURE_UBFC_PEAK_30,5.965000152587891,8.928999900817871,6.474,0.825
TSCAN_UBFC_PURE_FFT_03,22.724000930786133,27.323999404907227,32.286,-0.009
TSCAN_UBFC_PURE_FFT_05,26.94799995422364,30.354999542236328,41.959,0.054
TSCAN_UBFC_PURE_FFT_10,24.75900077819824,29.802000045776367,35.957,0.093
TSCAN_UBFC_PURE_FFT_20,26.825000762939453,30.03499984741211,41.703,0.092
TSCAN_UBFC_PURE_FFT_30,25.888999938964844,29.058000564575195,39.863,0.162
